sequence,fitness,sheet,construct,construct_type,mean_raw,sd_raw,n,normalization
S01:B2_01 S02:B2_02 S03:B2_03 S04:B2_04 S05:B2_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B2_11 S12:B2_12,1.0,B2chimeraMultihance,B2,native_B2,9.138072,4.588231306785111,3,b2_ratio
S01:B3_01 S02:B2_02 S03:B2_03 S04:B2_04 S05:B2_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B2_11 S12:B2_12,2.0912289448656862,B2chimeraMultihance,TM1,B2_backbone_B3_TM01,19.10980066666667,3.415012828268193,3,b2_ratio
S01:B2_01 S02:B2_02 S03:B2_03 S04:B2_04 S05:B2_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B3_10 S11:B2_11 S12:B2_12,0.31046100315252495,B2chimeraMultihance,TM10,B2_backbone_B3_TM10,2.8370149999999996,0.29772432103037877,3,b2_ratio
S01:B2_01 S02:B2_02 S03:B2_03 S04:B2_04 S05:B2_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B3_11 S12:B2_12,0.7706188278373527,B2chimeraMultihance,TM11,B2_backbone_B3_TM11,7.0419703333333326,0.44364079364992254,3,b2_ratio
S01:B2_01 S02:B2_02 S03:B2_03 S04:B2_04 S05:B2_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B2_11 S12:B3_12,0.42171397496831575,B2chimeraMultihance,TM12,B2_backbone_B3_TM12,3.8536526666666666,0.4324379207890232,3,b2_ratio
S01:B2_01 S02:B3_02 S03:B2_03 S04:B2_04 S05:B2_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B2_11 S12:B2_12,1.489962981250312,B2chimeraMultihance,TM2,B2_backbone_B3_TM02,13.615388999999999,3.2316066990955123,3,b2_ratio
S01:B2_01 S02:B2_02 S03:B3_03 S04:B2_04 S05:B2_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B2_11 S12:B2_12,3.3048347251659504,B2chimeraMultihance,TM3,B2_backbone_B3_TM03,30.199817666666664,8.25507227324354,3,b2_ratio
S01:B2_01 S02:B2_02 S03:B2_03 S04:B3_04 S05:B2_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B2_11 S12:B2_12,2.2816169172957563,B2chimeraMultihance,TM4,B2_backbone_B3_TM04,20.849579666666667,3.447472721695465,3,b2_ratio
S01:B2_01 S02:B2_02 S03:B2_03 S04:B2_04 S05:B3_05 S06:B2_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B2_11 S12:B2_12,0.7049902138365002,B2chimeraMultihance,TM5,B2_backbone_B3_TM05,6.442251333333334,0.8628918717848333,3,b2_ratio
S01:B2_01 S02:B2_02 S03:B2_03 S04:B2_04 S05:B2_05 S06:B3_06 S07:B2_07 S08:B2_08 S09:B2_09 S10:B2_10 S11:B2_11 S12:B2_12,5.050684214350687,B2chimeraMultihance,TM6,B2_backbone_B3_TM06,46.153516,4.57325468879233,3,b2_ratio
